,post_id,source,date,text,image,url
0,962170830896016,Prefeitura de Icém,"[datetime.datetime(2020, 6, 29, 17, 0, 11)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 29/06 às 17:00 hrs 3° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção. Lavar as mãos Frequente com água e sabão🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/106748021_962170790896020_3777573082444192638_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=9_DRoMmUMH8AX9Q2vGS&_nc_ht=scontent.fcgh7-1.fna&oh=5c373e6dc331a47288cdacad0a4eba30&oe=5F224B21,/story.php?story_fbid=962170830896016&id=234499770329796
1,961495100963589,Prefeitura de Icém,"[datetime.datetime(2020, 6, 28, 17, 0, 15)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 27/06 às 17:00 hrs 3° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção. Lavar as mãos Frequente com água e sabão🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/106221022_961495070963592_2989426799110018846_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=63gWePcDWcMAX9mRjpq&_nc_ht=scontent.fcgh7-1.fna&oh=3e3c2167e30b83b73d90d78302de26b9&oe=5F21228F,/story.php?story_fbid=961495100963589&id=234499770329796
3,960726124373820,Prefeitura de Icém,"[datetime.datetime(2020, 6, 27, 17, 32, 15)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 27/06 às 17:00 hrs 3° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção. Lavar as mãos Frequente com água e sabão🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/106172552_960726091040490_5518219986990554829_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=Jj5tO-mbJGoAX9XH11E&_nc_ht=scontent.fcgh7-1.fna&oh=6a82c160aeaa768565f018c8b507c8cd&oe=5F1FBA0F,/story.php?story_fbid=960726124373820&id=234499770329796
5,959994087780357,Prefeitura de Icém,"[datetime.datetime(2020, 6, 26, 17, 17, 51)]","🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 25/06 às 17:00 hrs 3° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção. Lavar as mãos Frequente com água e sabão🧼🧼🧼  A Divisão Municipal  da Saúde de Icém confirma nesta sexta-feira, 26, o terceiro caso positivo de coronavírus na cidade. De acordo com o diretor pasta de saúde André Orasmo, o paciente institucionalizada é um homem de 33 anos que já está em isolamento.",https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/105996804_959994071113692_6688059955161196088_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=l1LBW-J4rL8AX8FiQZs&_nc_ht=scontent.fcgh7-1.fna&oh=e8b05d3f040a95e6f627c77efa7c5180&oe=5F22C2BE,/story.php?story_fbid=959994087780357&id=234499770329796
6,959277597852006,Prefeitura de Icém,"[datetime.datetime(2020, 6, 25, 17, 0, 19)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 25/06 às 17:00 hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/106109734_959277574518675_8552687412378392148_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=Le3B4JXD_7AAX-tqnCm&_nc_ht=scontent.fcgh7-1.fna&oh=6912096af4353fa05b9dacc1ba02fd80&oe=5F217F88,/story.php?story_fbid=959277597852006&id=234499770329796
9,957834814662951,Prefeitura de Icém,"[datetime.datetime(2020, 6, 23, 17, 20, 39)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 23/06 às 17:00 hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/105980734_957834794662953_7905839941293164176_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=_yPLMvv9_V8AX98vqWA&_nc_ht=scontent.fcgh7-1.fna&oh=a75b886dd5f2e0a406757b8945704c6e&oe=5F1F672A,/story.php?story_fbid=957834814662951&id=234499770329796
12,957074851405614,Prefeitura de Icém,"[datetime.datetime(2020, 6, 22, 17, 0, 10)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 22/06 às 17:00 hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/106017469_957074831405616_3345670860865818114_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=UVJqdFApAYUAX9SY3Dv&_nc_ht=scontent.fcgh7-1.fna&oh=202580b4204fe8f1a875bc021535c11a&oe=5F20A5A2,/story.php?story_fbid=957074851405614&id=234499770329796
15,956420174804415,Prefeitura de Icém,"[datetime.datetime(2020, 6, 21, 18, 19, 43)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 21/06 às 17:00 hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼 .,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/104814197_956420154804417_1547232094563375308_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=E68VHhgOiPEAX9r0dDs&_nc_ht=scontent.fcgh7-1.fna&oh=fa1ed9f732e173bdd05f5a75961056fa&oe=5F2204BF,/story.php?story_fbid=956420174804415&id=234499770329796
17,955575804888852,Prefeitura de Icém,"[datetime.datetime(2020, 6, 20, 17, 0, 5)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 20/06 às 17:00 hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # Use Máscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼 .,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/104657209_955575781555521_3528520002855340148_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=ZKC-swLEI-UAX-3-M_x&_nc_ht=scontent.fcgh7-1.fna&oh=45d9b9382a9f93cf255da937498fa127&oe=5F20AB37,/story.php?story_fbid=955575804888852&id=234499770329796
21,954818228297943,Prefeitura de Icém,"[datetime.datetime(2020, 6, 19, 17, 15, 5)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 19/06 às 17:15hrs 2° Caso confirmado  🚫 # Fique em Casa  🏡🏡🏡🏡  # UseMáscara 😷😷# Prevenção.  Lavar as mãos Frequente com água e sabão 🤚🤚🧼🧼🧼 .,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/104434399_954818201631279_3507146707651189731_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=o01YWmkHtZEAX_923XU&_nc_ht=scontent.fcgh7-1.fna&oh=b84f07b01e2771bbaa0d84a811f2e5d2&oe=5F205A0B,/story.php?story_fbid=954818228297943&id=234499770329796
22,954101798369586,Prefeitura de Icém,"[datetime.datetime(2020, 6, 18, 17, 15, 12)]",🚨Confira o Boletim Informativo🚨 de Icém referente ao Covid-19 atualizado em 18/06 às 17:15hrs 2° Caso confirmado  🚫 # FiqueEmCasa🏡  # UseMáscara 😷😷# Prevenção🏡🏡😷😷,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/104714280_954101771702922_942671278454261807_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=FHoYU_7oERsAX9SHYW6&_nc_ht=scontent.fcgh7-1.fna&oh=a2b32c1c879f51364b0309556995c06d&oe=5F213033,/story.php?story_fbid=954101798369586&id=234499770329796
